=== Wendlemire Human-vs-Human Balance (12-win curve) ===
Seeds/matchup: 24   Target: 15-25s @ 60tps
Knobs this pass: CombatBalance VitalHpScale=0.9 LimbHpScale=0.78 ArmorK=110 (ElvishLeaf diminishing, on-hit stacks free)
Sever dump: currentBlood * (subtree BloodAmount / body BloodAmount) on Severe()

--- Human blood shares if severed (subtree / body @ full pool) ---
  Weight total 1354   MaxBlood 5000
  Finger                   0.2%      11 blood
  Hand+digits              2.5%     127 blood
  Arm+hand                 8.5%     423 blood
  Foot                     2.2%     111 blood
  Leg+foot                12.6%     628 blood
  Head (own, not severable)   3.7%     185 blood
  Torso (own)             22.2%    1108 blood

Band    Matchup                                         med.s   mean   p10   p90  band%  Awin%  bleed%  organ%  sever%  loseB%  winB%   DPS  waste%  cap%  topCause
STEEL   SteelSword vs Sword (plate)                      35.7   32.3  18.2  41.7     29     79       0     100      46     105    100  49.6       0     0  Torso was destroyed (Heart failed) (12)

R7-9    Sword+chain vs Sword+chain                       21.3   21.3   8.3  31.6     46     63       0     100      46     103    100  82.8       0     0  Torso was destroyed (Heart failed) (17)
R7-9    Chain+Burn vs Chain (plain)                      18.3   18.0   9.2  26.1     50     54       0     100      33     100    100  72.4       0     0  Torso was destroyed (Heart failed) (16)
R7-9    Chain+Burn vs Chain+BoneEater                    17.5   18.0  11.9  24.4     75     71       0     100      42     108    100  92.0       0     0  Torso was destroyed (Heart failed) (16)
R7-9    Chain+Burn vs Chain+SpidersBite                  17.6   17.7  10.7  24.0     50     58       0     100      46     105    100  82.5       0     0  Torso was destroyed (Heart failed) (17)
R7-9    Dual-iron+chain vs Sword+chain                   20.7   19.3   9.2  29.1     29     54       0      96      29     100    100  79.2       0     0  Torso was destroyed (Heart failed) (14)
R7-9    Chain+Rhino-light vs Chain+Burn                  17.5   19.1  13.3  29.3     50     79       0     100      46     113    100  83.8       0     0  Torso was destroyed (Heart failed) (18)
R7-9    Dual-DoT+leather vs same                         14.9   13.9   5.9  22.8     46     42       0      83      42     100    100 103.9       0     0  Torso was destroyed (Heart failed) (16)
R7-9    WD+BoneEater vs Sword+chain                      16.7   17.5  10.7  26.1     54     71       0     100      38     112    100  99.9       0     0  Torso was destroyed (Heart failed) (19)
R7-9    WD+Burn vs Sword+chain                           18.9   20.1  13.7  30.3     58     63       0     100      42     107    100  78.8       0     0  Torso was destroyed (Heart failed) (20)
